time,lat,long,LAeq
1532017255.0,41.148054566,-8.611185213,72.2
1532017557.0,41.148054566,-8.611185213,72.7
1532017859.0,41.148054566,-8.611185213,77.6
1532018161.0,41.148054566,-8.611185213,80.9
1532018403.0,41.148054566,-8.611185213,72.3
1532018705.0,41.148054566,-8.611185213,81.0
1532019007.0,41.148054566,-8.611185213,72.2
1532019309.0,41.148054566,-8.611185213,73.3
1532019646.0,41.148054566,-8.611185213,72.5
1532019948.0,41.148054566,-8.611185213,72.5
1532020250.0,41.148054566,-8.611185213,76.0
1532020552.0,41.148054566,-8.611185213,74.4
1532020855.0,41.148054566,-8.611185213,71.0
1532021157.0,41.148054566,-8.611185213,73.7
1532021458.0,41.148054566,-8.611185213,78.4
1532021775.0,41.148054566,-8.611185213,76.2
1532022016.0,41.148054566,-8.611185213,72.4
1532022319.0,41.148054566,-8.611185213,72.5
1532022621.0,41.148054566,-8.611185213,73.5
1532022923.0,41.148054566,-8.611185213,71.8
1532023232.0,41.148054566,-8.611185213,71.6
1532023534.0,41.148054566,-8.611185213,73.6
1532023836.0,41.148054566,-8.611185213,72.8
1532024145.0,41.148054566,-8.611185213,72.5
1532024454.0,41.148054566,-8.611185213,71.7
1532024756.0,41.148054566,-8.611185213,72.5
1532025094.0,41.148054566,-8.611185213,74.0
1532025336.0,41.148054566,-8.611185213,73.0
1532025638.0,41.148054566,-8.611185213,73.8
1532025939.0,41.148054566,-8.611185213,75.6
1532026242.0,41.148054566,-8.611185213,72.7
1532026544.0,41.148054566,-8.611185213,73.0
1532026846.0,41.148054566,-8.611185213,75.6
1532027148.0,41.148054566,-8.611185213,89.1
1532027450.0,41.148054566,-8.611185213,72.5
1532027752.0,41.148054566,-8.611185213,71.7
1532028054.0,41.148054566,-8.611185213,72.2
1532028356.0,41.148054566,-8.611185213,71.8
1532028658.0,41.148054566,-8.611185213,71.9
1532028960.0,41.148054566,-8.611185213,70.6
1532029262.0,41.148054566,-8.611185213,70.3
1532029504.0,41.148054566,-8.611185213,71.6
1532029806.0,41.148054566,-8.611185213,72.7
1532030108.0,41.148054566,-8.611185213,70.9
