type,lat,long,value,category
Bairros,41.14398600000002,-8.66768000000001,0,Bairros
Bairros,41.14398600000002,-8.66518000000001,0,Bairros
Bairros,41.14398600000002,-8.66268000000001,0,Bairros
Bairros,41.14398600000002,-8.660180000000011,0,Bairros
Bairros,41.14398600000002,-8.657680000000012,0,Bairros
Bairros,41.14398600000002,-8.655180000000012,0,Bairros
Bairros,41.14398600000002,-8.652680000000013,0,Bairros
Bairros,41.14398600000002,-8.650180000000013,0,Bairros
Bairros,41.14398600000002,-8.647680000000014,0,Bairros
Bairros,41.14398600000002,-8.645180000000014,0,Bairros
Bairros,41.14398600000002,-8.642680000000015,0,Bairros
Bairros,41.14398600000002,-8.640180000000015,0,Bairros
Bairros,41.14398600000002,-8.637680000000016,0,Bairros
Bairros,41.14398600000002,-8.635180000000016,0,Bairros
Bairros,41.14398600000002,-8.632680000000017,0,Bairros
Bairros,41.14398600000002,-8.630180000000017,0,Bairros
Bairros,41.14398600000002,-8.627680000000018,0,Bairros
Bairros,41.14398600000002,-8.625180000000018,0,Bairros
Bairros,41.14398600000002,-8.622680000000019,0,Bairros
Bairros,41.14398600000002,-8.620180000000019,0,Bairros
Bairros,41.14398600000002,-8.61768000000002,0,Bairros
Bairros,41.14398600000002,-8.61518000000002,0,Bairros
Bairros,41.14398600000002,-8.61268000000002,0,Bairros
Bairros,41.14398600000002,-8.610180000000021,0,Bairros
Bairros,41.14398600000002,-8.607680000000022,0,Bairros
Bairros,41.14398600000002,-8.605180000000022,0,Bairros
Bairros,41.14398600000002,-8.602680000000023,0,Bairros
Bairros,41.14398600000002,-8.600180000000023,0,Bairros
Bairros,41.14398600000002,-8.597680000000024,0,Bairros
Bairros,41.14398600000002,-8.595180000000024,0,Bairros
Bairros,41.14398600000002,-8.592680000000025,0,Bairros
Bairros,41.14398600000002,-8.590180000000025,0,Bairros
Bairros,41.14398600000002,-8.587680000000026,0,Bairros
Bairros,41.14398600000002,-8.585180000000026,0,Bairros
Bairros,41.14398600000002,-8.582680000000027,0,Bairros
Bairros,41.14398600000002,-8.580180000000027,0,Bairros
Bairros,41.14398600000002,-8.577680000000028,0,Bairros
Bairros,41.14398600000002,-8.575180000000028,0,Bairros
Bairros,41.14398600000002,-8.572680000000028,0,Bairros
Bairros,41.14398600000002,-8.570180000000029,0,Bairros
Bairros,41.14398600000002,-8.56768000000003,0,Bairros
Bairros,41.14398600000002,-8.56518000000003,0,Bairros
