time,lat,long,NO2
1544014831.0,41.180222,-8.605194,31.0
1544014920.0,41.180222,-8.605194,31.0
1544014990.0,41.180222,-8.605194,31.0
1544015022.0,41.180222,-8.605194,31.0
1544015094.0,41.180222,-8.605194,31.0
1544015135.0,41.180222,-8.605194,31.0
1544015214.0,41.180222,-8.605194,31.0
1544015284.0,41.180222,-8.605194,33.4
1544015348.0,41.180222,-8.605194,33.4
1544015380.0,41.180222,-8.605194,33.7
1544015451.0,41.180222,-8.605194,66.4
1544015528.0,41.180222,-8.605194,36.1
1544015828.0,41.180222,-8.605194,62.7
1544015946.0,41.180222,-8.605194,62.7
1544015984.0,41.180222,-8.605194,34.3
1544016026.0,41.180222,-8.605194,34.3
1544016102.0,41.180222,-8.605194,35.0
1544016174.0,41.180222,-8.605194,35.0
1544016214.0,41.180222,-8.605194,35.0
1544016286.0,41.180222,-8.605194,35.0
1544016338.0,41.180222,-8.605194,42.9
1544016414.0,41.180222,-8.605194,42.9
1544016479.0,41.180222,-8.605194,42.9
1544016549.0,41.180222,-8.605194,41.5
1544016584.0,41.180222,-8.605194,41.5
1544016636.0,41.180222,-8.605194,41.5
1544016712.0,41.180222,-8.605194,41.5
1544016782.0,41.180222,-8.605194,54.3
1544016851.0,41.180222,-8.605194,54.3
1544016886.0,41.180222,-8.605194,56.9
1544016969.0,41.180222,-8.605194,56.9
1544017015.0,41.180222,-8.605194,56.9
1544017090.0,41.180222,-8.605194,66.0
1544017125.0,41.180222,-8.605194,66.0
1544017190.0,41.180222,-8.605194,63.1
1544017236.0,41.180222,-8.605194,63.1
1544017311.0,41.180222,-8.605194,66.4
1544017380.0,41.180222,-8.605194,66.4
1544017445.0,41.180222,-8.605194,66.4
1544017499.0,41.180222,-8.605194,70.0
1544017548.0,41.180222,-8.605194,70.0
1544017625.0,41.180222,-8.605194,70.0
1544017680.0,41.180222,-8.605194,70.7
1544017745.0,41.180222,-8.605194,68.1
1544017791.0,41.180222,-8.605194,68.1
1544017848.0,41.180222,-8.605194,68.1
1544017917.0,41.180222,-8.605194,68.1
1544017984.0,41.180222,-8.605194,70.0
1544018049.0,41.180222,-8.605194,70.0
1544018081.0,41.180222,-8.605194,73.9
1544018164.0,41.180222,-8.605194,73.9
1544018229.0,41.180222,-8.605194,73.9
1544018279.0,41.180222,-8.605194,73.9
1544018336.0,41.180222,-8.605194,75.9
1544018410.0,41.180222,-8.605194,75.8
1544018457.0,41.180222,-8.605194,75.8
1544018509.0,41.180222,-8.605194,71.9
1544018591.0,41.180222,-8.605194,78.7
1544018643.0,41.180222,-8.605194,78.7
1544018698.0,41.180222,-8.605194,78.7
1544018769.0,41.180222,-8.605194,80.9
1544018831.0,41.180222,-8.605194,77.8
1544018882.0,41.180222,-8.605194,77.8
1544018942.0,41.180222,-8.605194,77.8
1544019007.0,41.180222,-8.605194,77.8
1544019056.0,41.180222,-8.605194,77.8
1544019110.0,41.180222,-8.605194,77.8
1544019177.0,41.180222,-8.605194,77.4
1544019244.0,41.180222,-8.605194,77.4
1544019276.0,41.180222,-8.605194,91.2
1544019319.0,41.180222,-8.605194,91.2
1544019410.0,41.180222,-8.605194,88.9
1544019475.0,41.180222,-8.605194,88.9
1544019546.0,41.180222,-8.605194,88.9
1544019611.0,41.180222,-8.605194,91.4
1544019665.0,41.180222,-8.605194,91.4
1544019700.0,41.180222,-8.605194,91.4
1544019764.0,41.180222,-8.605194,91.4
1544019831.0,41.180222,-8.605194,206.2
1544019868.0,41.180222,-8.605194,112.5
1544020123.0,41.180222,-8.605194,112.5
1544020353.0,41.180222,-8.605194,27.5
1544020727.0,41.180222,-8.605194,27.5
1544020911.0,41.180222,-8.605194,27.5
1544021308.0,41.180222,-8.605194,27.6
1544021527.0,41.180222,-8.605194,27.6
1544021895.0,41.180222,-8.605194,27.6
1544022085.0,41.180222,-8.605194,31.4
1544022496.0,41.180222,-8.605194,31.4
1544022687.0,41.180222,-8.605194,31.4
1544023101.0,41.180222,-8.605194,41.7
1544023441.0,41.180222,-8.605194,41.7
1544023657.0,41.180222,-8.605194,41.7
1544024022.0,41.180222,-8.605194,56.7
1544024233.0,41.180222,-8.605194,56.7
1544024629.0,41.180222,-8.605194,56.7
1544024832.0,41.180222,-8.605194,45.0
1544025233.0,41.180222,-8.605194,45.0
1544025438.0,41.180222,-8.605194,45.0
1544025801.0,41.180222,-8.605194,64.7
1544026159.0,41.180222,-8.605194,64.7
1544027600.0,41.180222,-8.605194,62.9
1544027655.0,41.180222,-8.605194,62.9
1544027711.0,41.180222,-8.605194,62.9
1544027965.0,41.180222,-8.605194,62.9
1544028178.0,41.180222,-8.605194,62.9
1544028539.0,41.180222,-8.605194,69.9
1544028740.0,41.180222,-8.605194,69.9
1544029121.0,41.180222,-8.605194,69.9
1544029328.0,41.180222,-8.605194,70.4
1544029719.0,41.180222,-8.605194,70.4
1544029919.0,41.180222,-8.605194,70.4
1544030308.0,41.180222,-8.605194,81.7
1544030516.0,41.180222,-8.605194,81.7
1544030902.0,41.180222,-8.605194,81.7
1544031078.0,41.180222,-8.605194,87.8
1544031473.0,41.180222,-8.605194,87.8
1544031681.0,41.180222,-8.605194,87.8
1544032071.0,41.180222,-8.605194,95.4
1544032284.0,41.180222,-8.605194,95.4
1544032670.0,41.180222,-8.605194,95.4
1544033049.0,41.180222,-8.605194,100.6
1544033280.0,41.180222,-8.605194,100.6
1544033630.0,41.180222,-8.605194,100.6
1544033843.0,41.180222,-8.605194,98.9
1544034234.0,41.180222,-8.605194,98.9
1544034429.0,41.180222,-8.605194,98.9
1544034823.0,41.180222,-8.605194,109.5
1544035026.0,41.180222,-8.605194,109.5
1544035412.0,41.180222,-8.605194,109.5
1544035607.0,41.180222,-8.605194,107.7
1544035999.0,41.180222,-8.605194,107.7
1544036206.0,41.180222,-8.605194,107.7
1544036593.0,41.180222,-8.605194,101.7
