time,lat,long,windDirection
1550196058.0,41.180222,-8.605194,96.0
1550196187.0,41.180222,-8.605194,96.0
1550196371.0,41.180222,-8.605194,95.0
1550196757.0,41.180222,-8.605194,97.0
1550197101.0,41.180222,-8.605194,98.0
1550197296.0,41.180222,-8.605194,95.0
1550197671.0,41.180222,-8.605194,100.0
1550197842.0,41.180222,-8.605194,99.0
1550198216.0,41.180222,-8.605194,101.0
1550198592.0,41.180222,-8.605194,102.0
1550198782.0,41.180222,-8.605194,98.0
1550199143.0,41.180222,-8.605194,102.0
1550199499.0,41.180222,-8.605194,95.0
1550199695.0,41.180222,-8.605194,97.0
1550200062.0,41.180222,-8.605194,100.0
1550200259.0,41.180222,-8.605194,101.0
1550200611.0,41.180222,-8.605194,101.0
1550200991.0,41.180222,-8.605194,102.0
1550201151.0,41.180222,-8.605194,100.0
1550201538.0,41.180222,-8.605194,102.0
1550201728.0,41.180222,-8.605194,100.0
1550202089.0,41.180222,-8.605194,102.0
1550202470.0,41.180222,-8.605194,105.0
1550202668.0,41.180222,-8.605194,107.0
1550202997.0,41.180222,-8.605194,100.0
1550203375.0,41.180222,-8.605194,103.0
1550203554.0,41.180222,-8.605194,111.0
1550203937.0,41.180222,-8.605194,104.0
1550204301.0,41.180222,-8.605194,99.0
1550204481.0,41.180222,-8.605194,98.0
1550204872.0,41.180222,-8.605194,97.0
1550205030.0,41.180222,-8.605194,100.0
1550205411.0,41.180222,-8.605194,99.0
1550205775.0,41.180222,-8.605194,100.0
1550205944.0,41.180222,-8.605194,102.0
1550206326.0,41.180222,-8.605194,96.0
1550206690.0,41.180222,-8.605194,98.0
1550206868.0,41.180222,-8.605194,102.0
1550207242.0,41.180222,-8.605194,102.0
1550207610.0,41.180222,-8.605194,102.0
1550207776.0,41.180222,-8.605194,103.0
1550208146.0,41.180222,-8.605194,103.0
1550208348.0,41.180222,-8.605194,103.0
1550208730.0,41.180222,-8.605194,102.0
1550209090.0,41.180222,-8.605194,99.0
1550209277.0,41.180222,-8.605194,108.0
1550209648.0,41.180222,-8.605194,99.0
1550209833.0,41.180222,-8.605194,100.0
1550210185.0,41.180222,-8.605194,105.0
1550210572.0,41.180222,-8.605194,96.0
1550210758.0,41.180222,-8.605194,95.0
1550211126.0,41.180222,-8.605194,97.0
1550211492.0,41.180222,-8.605194,96.0
1550211652.0,41.180222,-8.605194,99.0
